model,N,alpha_m,alpha_ann,alpha_t,alpha_p,alpha_ci_lo_ann,alpha_ci_hi_ann,beta,beta_t,r2,r2_adj,smb,hml,mom,group,construction
FF4,58,0.0017217882283055953,0.020661458739667144,0.5227092275628753,0.6011766158456648,-0.056811279185046124,0.09813419666438042,0.7793861950629882,10.42921494027439,0.6351124442913878,0.6075737608416812,0.14329421149426388,0.11166223627951713,0.19939810850650683,trackB_health,long_only
CAPM,58,-0.0006395272084592766,-0.007674326501511319,-0.2932583451693473,0.76932469034688,-0.05896495060933519,0.04361629760631255,-0.10269393970138956,-1.2411104842801077,0.05609583573981991,0.03924040423517394,,,,trackB_health,long_short
FF4,58,0.00021869332119227867,0.002624319854307344,0.08861810928418085,0.9293854155811836,-0.055417681266043475,0.060666320974658156,-0.15292225772678655,-2.144003053078785,0.13052105291970462,0.06490000030987098,0.1915967736773009,-0.00900553159386316,-0.03740558995943399,trackB_health,long_short
CAPM,59,0.00527459425519088,0.06329513106229057,1.7975547528684317,0.07224759409466054,-0.005718720716560925,0.13230898284114206,0.9934136720326224,19.15909727846896,0.8396816383424135,0.8368690355063155,,,,trackB_science_commerce,long_only
FF4,59,0.0056498515014597964,0.06779821801751756,2.162152649685291,0.03060641191856904,0.006339992323013313,0.1292564437120218,0.9788673368641069,21.42336366887313,0.8596872944477231,0.8492937607031099,-0.13296093842647863,-0.15337837867431597,-0.12796808074894322,trackB_science_commerce,long_only
CAPM,59,0.0005720022114823664,0.006864026537788397,0.16789335599031086,0.8666671770875297,-0.07326567677083334,0.08699372984641013,-0.07227617041957778,-0.47964552517401765,0.022619144116964862,0.005472111557613291,,,,trackB_science_commerce,long_short
FF4,59,-0.0001331236821151471,-0.0015974841853817652,-0.04409877989867768,0.9648256653400309,-0.07259744101898231,0.06940247264821879,-0.032731636768459034,-0.23551528210940934,0.09353383074677024,0.026388188579864247,0.04536945269176441,0.11158977158159693,0.1524392972200143,trackB_science_commerce,long_short
CAPM,57,-0.0011672265887356422,-0.014006719064827707,-0.27625660964628695,0.7823509800189186,-0.1133805039808978,0.08536706585124239,1.1364008612627687,12.719409133779257,0.6152179533825963,0.6082219161713709,,,,trackB_transport_infra,long_only
FF4,57,-0.001446757058614398,-0.017361084703372776,-0.3194799510188283,0.7493625922182572,-0.12386886599808858,0.08914669659134303,1.137829785522041,11.740080969310572,0.6265544673396861,0.5978278879042773,0.24965255197146408,0.06672568765887547,0.11184553457756226,trackB_transport_infra,long_only
CAPM,58,0.004826618943928914,0.057919427327146965,0.49237794599945756,0.6224521869483655,-0.1726351547550451,0.28847400940933904,-0.7186085318594754,-2.1764996252641398,0.30868314187585344,0.2963381979807794,,,,trackB_transport_infra,long_short
FF4,58,0.0049967062538703024,0.059960475046443626,0.5946428809201142,0.5520822101635012,-0.1376713731732782,0.2575923232661655,-0.6866365677725683,-2.431071818558093,0.412116197101269,0.3677476082032516,-0.1039585691934769,-0.4643494250107739,0.02110070371864699,trackB_transport_infra,long_short
